Group,How long have you been using AI for software engineering?,How often do you use AI for software engineering on an average week?,"I believe that AI is a tool to enhance my learning experience, rather than just a means to finish assignments",I can ask for more resources based on the recommendations by AI for my learning,I can judge if an image/video essay generated by AI is correct for my learning,"I can judge if resources (e.g., websites, videos) recommended by AI are appropriate for my learning","I can leverage AI to boost my understanding and skills, not merely to complete tasks",I can use AI to check whether my solutions are correct,I can use AI to conduct inquiry-based learning in other disciplines,I can use AI to find relevant information outside the classroom curriculum quickly and efficiently,I can use AI to gain knowledge in a discipline I am unfamiliar with.,I can use AI to generate questions for further learning,I can use AI to get different alternative information to solve real-life problems better.,I can use AI to get feedback to improve my ideas,I can use AI to get ideas to complete my learning tasks,I feel comfortable using AI technology in learning,I feel confident using AI technology in learning,I find it easy to learn AI technology,I know how to categorize data for designing machine learning models,I know how to collect data for designing machine learning models,I know how to create a machine learning application,I know how to evaluate my created machine learning model,I understand that AI technology sometimes generates incorrect output,I understand that AI technology sometimes gives a biased output,Q25 A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?,Q25 Intuitive Answer?,Q25 Points,"Q26 If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 100 widgets?",Q26 Intuitive Answer?,Q26 Points,"Q27 In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",Q27 Intuitive Answer?,Q27 Points,"Q28 If you’re running a race and you pass the person in second place, what place are you in?",Q28 Intuitive Answer?,Q28 Points,Q29 A farmer had 15 sheep and all but 8 died. How many are left?,Q29 Intuitive Answer?,Q29 Points,Q30 Emily’s father has three daughters. The first two are named April and May. What is the third daughter’s name?,Q30 Intuitive Answer?,Q30 Points,Q31 How many cubic feet of dirt are there in a hole that is 3’ deep x 3’ wide x 3’ long?,Q31 Intuitive Answer?,Q31 Points,Q32 If you would accept the code as a valid solution to the problem please respond with 'Accept' in the box below. Otherwise respond with 'Do not accept' and explain why the code would not work.,Q32 Points,Q33 If you would accept the code as a valid solution to the problem please respond with 'Accept' in the box below. Otherwise respond with 'Do not accept' and explain why the code would not work.,Q33 Points,Q34 If you would accept the code as a valid solution to the problem please respond with 'Accept' in the box below. Otherwise respond with 'Do not accept' and explain why the code would not work.,Q34 Points,Q35 If you would accept the code as a valid solution to the problem please respond with 'Accept' in the box below. Otherwise respond with 'Do not accept' and explain why the code would not work.,Q35 Points,Q36 If you would accept the code as a valid solution to the problem please respond with 'Accept' in the box below. Otherwise respond with 'Do not accept' and explain why the code would not work.,Q36 Points,Q37 If you would accept the code as a valid solution to the problem please respond with 'Accept' in the box below. Otherwise respond with 'Do not accept' and explain why the code would not work.,Q37 Points,Q38 If you would accept the code as a valid solution to the problem please respond with 'Accept' in the box below. Otherwise respond with 'Do not accept' and explain why the code would not work.,Q38 Points,Q39 If you would accept the code as a valid solution to the problem please respond with 'Accept' in the box below. Otherwise respond with 'Do not accept' and explain why the code would not work.,Q39 Points,Q40 If you would accept the code as a valid solution to the problem please respond with 'Accept' in the box below. Otherwise respond with 'Do not accept' and explain why the code would not work.,Q40 Points,Final Scores
AI,<= 2 years,Greater than 10 times a week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,5 cents ,FALSE,1,100 minutes ,TRUE,0,24 days ,TRUE,0,2nd place ,FALSE,1,8,FALSE,1,June ,TRUE,0,3,FALSE,0,accept ,1,"Do not accept.
The code only allows at most 1 consecutive identical character, because it skips any character equal to res.back().",2,"Do not accept.
For odd-length strings, the code does not ignore the middle character. It sets the second half starting at s.size()/2, which includes the middle character.",2,"Do not accept.
The code never increases jump, so it sums indices 0, 2, 4, 6, ... instead of 0, 2, 5, 9, ....",2,Accept ,1,Accept ,1,Accept ,0,"Do not accept.
The loop will only look for the inside elements.",1,Accept ,1,14
AI,<= 1 year,Greater than 10 times a week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,$0.10 ,TRUE,0,5 minutes ,FALSE,1,47 days,FALSE,1,2nd place,FALSE,1,8,FALSE,1,Emily,FALSE,1,0,FALSE,1,"Accept, It correctly increments on 'U', decrements on 'D', and tracks the running max.",1,"Do not accept. This code only allows 1 consecutive identical character. It only appends when the result is empty or the last character differs, so ""aab"" would become ""ab"" instead of the correct ""aab"". It needs to also check the second-to-last character.",2,"Accept. It correctly splits, reverses the second half in-place, and compares. For odd-length strings, the middle character is excluded from both halves due to integer division.",0,"Accept. Starts at index 0 with jump=2, adds a[i] then advances by jump, incrementing jump each iteration. The sequence 0, 0+2=2, 2+3=5, 5+4=9 matches the spec.",0," Accept. Uses a monotonic stack storing indices. Pops elements >= current, then computes distance from the remaining top (or -1 if empty). Classic correct approach.",1,"Accept. Repeatedly scans for adjacent equal pairs, replaces them with their sum, and loops until no changes occur. Works correctly.",1,Accept — it counts how many indices can start a balanced segment.,0,"Do not accept. The loop starts at i = 0, which accesses a[i-1] = a[-1] — undefined behavior / out-of-bounds access. It should start at i = 1 and end at a.siz",2,"Accept. It computes total sum, then iterates checking if left == total - left - a[i] (which is the right sum). ",1,14
AI,<= 2 years,1-3 times a week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,$0.05 ,FALSE,1,100 minutes,TRUE,0,47,FALSE,1,Second place,FALSE,1,8,FALSE,1,Emily,FALSE,1,0,FALSE,1,Accept,1,"Do not accept, the code only allows for one consecutive identical character, not 2 as required.",2,"Do not accept, the code includes the middle characters in odd lengths.",2,"Do not accept, the jump is fixed and not increasing as per the problem.",2,Accpet,1,Accpet,1,Accept,0,"Do not accept, this code has an out of bounds access bug.",2,Accept,1,18
Manual,<= 2 years,1-3 times a week,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,$0.05 ,FALSE,1,5 minutes,FALSE,1,47 Days,FALSE,1,Second place,FALSE,1,8 Sheep ,FALSE,1,Emily,FALSE,1,3 cubic feet,FALSE,0,Accept,1,"Do not accept, does not allow any consecutive identical characters",2,Accept,0,"Do no accept, While checks for less than indices. Jump can land on final indice. ",1,Accept,1,Accept,1,Accept,0,"Do not accept. Starts at indices 0, check a[i-1] (a[-1])",2,Accept,1,15
Manual,<= 2 years,1-3 times a week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$0.10 ,TRUE,0,100 minutes ,TRUE,0,24 days,TRUE,0,second place,FALSE,1,8,FALSE,1,Emily,FALSE,1,27 ft^3,TRUE,0,Accept ,1,"Do not accept. There is not a check for a maximum of two, and could keep going if there is more than two consecutive identical characters. ",1,Accept,0,Accept,0,Accept,1,Accept,1,Do not accept. It doesn't appear that there is a counter incrementing for the segments of 1s to compare to the segments of 0s.,1,Accept ,0,Accept ,1,9
AI,<= 3 years,1-3 times a week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,$0.05 ,FALSE,1,5 minutes,FALSE,1,47,FALSE,1,2nd place,FALSE,1,8,FALSE,1,Emily,FALSE,1,0 cubic feet,FALSE,1,Accept,1,"Do not accept because the if-statement's condition only checks the last character, not whether there are already two in a row.",1,Do not accept because the code does not ignore the middle character when the string length is odd.,2,Do not accept because the code uses a constant jump of 2 every time.,2,Accept,1,Accept,1,Accept,0,"Do not accept because the code checks every index from 0 to a.size() - 1, but the first and last elements do not have two neighbors.",1,"Do not accept because the logic correctly detects whether a balance index exists, but it returns 1 instead of returning the actual index i.",0,16
AI,<= 2 years,1-3 times a week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,The ball costs 5 cents,FALSE,1,5 minutes,FALSE,1,47,FALSE,1,Second Place,FALSE,1,8,FALSE,1,Emily,FALSE,1,27',TRUE,0,Accept,1,Accept,0,"Do not accept, it is not ignoring the middle character",2,Accept,0,Accept,1,Accept,1,Accept (really uneffective),0,"Do not accept, out of bounds error",2,Accept,1,14
Manual,<= 3 years,1-3 times a week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,$0.05 ,FALSE,1,unsure seems like it would be 100 or 5,FALSE,0,"unsure, I know it is a trick question, but it is difficult to calculate exponential growth without a calculator or a little more information regarding the start. My best guess would be a little less than 7 days",FALSE,0,second,FALSE,1,8,FALSE,1,Emily,FALSE,1,3,FALSE,0,"Do not accept because I am not sure that the for loop is iterating to the next character in s, but I could just be unfamiliar with the way it is written.",0,Accept,0,Accept,0,Accept,0,Accept,1,Do not accept because I believe the while loop will stop right after changed is set to false.,0,Accept,0,Accept bu worried about the start at 0 and how it handles the neighbor before which will probably be null or empty which might cause an error.,0,"Accept, because unsure",1,6
AI,<= 1 year,1-3 times a week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,$0.05 ,FALSE,1,5 Minutes,FALSE,1,47,FALSE,1,Second Place,FALSE,1,8,FALSE,1,Emily,FALSE,1,3,FALSE,0,Accept,1,"Do not accept, this code will not allow for any consecutive characters.",2,Accept,0,Accept,0,Accept,1,Accept,1,Accept,0,"Do not accept, within the if statement(a[i] > a[i-1] ...), on the first iteration, it will go out of bounds.",2,Accept,1,14
Manual,<= 4 years,Greater than 10 times a week,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$0.10 ,TRUE,0,5 minutes,FALSE,1,1 day,FALSE,0,second place,FALSE,1,7,TRUE,0,Emily,FALSE,1,3,FALSE,0,Accept,1,Accept,0,"Do not accept
You can't just compare strings with default comparison operator in C++
I would make a for loop (which I believe is not the best solution as C++ provides libraries that compare strings more efficient).",1,"Do not accept
This code doesn't increase the jump by one each time.",1,Accept,1,Accept,1,Accept,0,"Do not accept
Segmentation Fault Error ",2,Accept,1,11
